get_info,get_aggregate,get_employees,get_salary,get_salary_aggregate,get_salary_employees,get_date,get_date_range_aggregate,get date_range_employees,get_hierarchy
What is {Mia|name}'s performance score?,What {percentage|function} of employees are {female|sex}?,Which employees have gotten only {positive feedback|performance_score}?,{pay rate|money} of  {Mia|name},"How many employees are paid above {$|money}{200,000|sys_number} a {year|sys_duration}?",Of all employees that {started at the company|employment_action} {4 to 7 years ago|time_interval} which employee has the {smallest|extreme} paycheck?,When did we {fire|employment_action} {Jeff|name}?,How many employees are below the {age of|age} {30|sys_number},Which employee was {hired within the last month|date_time}? ,Who reports into {Nan Singh|name}
What position is {Julia|name} in?,{Percentage|function} of Employees in department with prior experience,Which employees have a {spouse|maritaldesc}?,how much money does {Mia|name} make?,what number of people {earn|money} {fewer than|comparator} {30|sys_number}?,Tell me who earned the {least|extreme} that was {hired this year|date_time}?,How long has {Mia|name} worked here?,How many employees are {under|comparator} {30|sys_number}?,Which employees have {been with us|date_time} for {less than|comparator} {five years|sys_duration}?,can i have the names of employees who report to {Michael|name}
Which department is {Michael|name} in?,What {percentage|function} of employees {meet or exceed expectations|performance_score}?,Which employees {quit working|employment_status} at Cisco?,What does {Mia|name} {make|money}?,what number of people {earn|money} {fewer than|comparator} {30|sys_number} {dollars|money} {an hour|sys_duration}?,"Of the employees {hired after 2014|date_time} which employees {earn|money} between {$20,000|sys_amount-of-money} and {$56,000|sys_amount-of-money}?",When was {Mia|name}'s date of hire?,How many employees are {over|comparator} {50|sys_number} {years old|age}?,Give me the employees that have {been with us|date_time} for {four years|sys_duration} or less,Which employees are under the Manager {Amy|name}?
How did {Mia|name} hear about our company?,What {percentage|function} of employees are parents?,Which employees are {activley employed|employment_status}?,How much {money|money} does {Mia|name} bring in {every year|time_interval}?,how many people are {paid|money} {less than|comparator} {30|sys_number} {dollars|money}?,Which workers are {compensated|money} {more than|comparator} {35 grand|sys_amount-of-money} but {less than|comparator} {60 grand|sys_amount-of-money}?,What was the {Amy|name}'s date of hire?,How many employees were born in the {year 2009|date_time}?,I want a list of employees that were {born in|date_time} the 1990's,who {works for|manager} {Nan Singh|name}
Is {Nan|name} {married|maritaldesc}?,Give an estimate {total|function} of the {female|sex} strength in this company?,Which employees have the {highest|comparator} performance score?,"{Each year|time_interval}, how much does {Mia|name} {earn|money}?",How many employees make {6 figure|sys_number} {salaries|money}?,Which employee that {works under|manager} {Simon Roup|name} {makes|money} the {most|extreme}?,When was {Michael|name} {hired|employment_action}?,How many people have worked here since {2015|date_time}?,Which employees were {born in|date_time} the {80's|time_interval}?,Tell who is {working under|manager} Mr. {Singh|name}
Why did {Mia|name} get fired?,What {percent|function} of people working here are {female|sex}? ,Who was {hired|employment_action} based on a {referral|employee_source}?,What are {Mia|name}'s {earnings|money} {year to year|time_interval}?,What is the {total|function} {earnings|money} of employes {hired after 2016|date_time}?,Tell me the employee that {works for|manager} {Jennifer Zamora|name} that {earns|money} the {least|extreme} amount?,When was {Mia|name} {hired|employment_action}?,How many people are there under {30|sys_number}?,Fetch me a list of workers that have their {birthdays|date_time} in the {1970's|time_interval},employee list with {manager|manager} being {Nan Singh|name}
Which department does {Mia|name} work for?,What is the {percentage|function} of employees that {exceeds expectations|performance_score} on his or her performance score?,Which employees are in the {engineering department|department}?,What is {Mia|name}'s {annual|sys_interval} {salary|money}?,How much does the {average|function} employee {hired after 2017|date_time} {make|money}?,What are the {yearly|time_interval} {salaries|money} for all of the employees that {work for|manager} {Janet King|money},What was {Mia|name}'s {date of hiring|date_time}?,Employees with more than {5 yrs|sys_duration} of experience in their field,What are our {top|extreme} {10|sys_number} {oldest|age} workers?,{Nan singh|name} is the {manager|manager} of which employees
Does {Julia|name}'s {manger|manager} provide her with enough work and exposure?,Tell me the {percent|function} of employees are {married|maritaldesc}?,Which employees have the {lowest|comparator} performance score?,What does {Mia|name} {make|money} {monthly|time_interval}?,What is the {average|function} {amount of money|money} that an employee {hired last year|date_time} earns?,Which {Sr. DBA|position} {earns|money} the {most|extreme}?,What was the exact date when {Amy|name} {started her job|employment_action} at our company?,number of people {working since 2016|date_time},Give me the {top|extreme} ten {youngest|age} workers,which employees is {Nan singh|name} the {manager|manager} for
How old is the {Ivan|name}?,What {fraction|function} of our employees are {below|comparator} the {age of|age} {30|sys_number}?,Which employees are {asian|racedesc}?,How much does {Mia|name} {make|money} {every month|time_interval}?,What is the {total|function} {earnings|money} of employees {hired last month|date_time}?,"Of all the {Production Managers|position}, which ones are the {top|extreme} {5|sys_number} {earners|money}",Can you tell me how long has {Ivan|name} worked in the firm,{total|function} number of employee that have been {working here since|date_time} the year {2016|sys_time},List of {oldest|age} workers,for which employees is {Nan singh|name} the {supervisor|manager}
Is {Nan|name} {actively employed|employment_status}?,What is the {percentage|function} of {senior engineers|position} in the company,Which employees are {US citizens|citizendesc}?,How much does Cisco {pay|money} {Mia|name} {each year|time_interval}?,How much {money|money} did all the employees {hired in the last three months|date_time} {make|money} combined?,Get me the {top|extreme} {ten|sys_number} {earners|money} in the {Production department|department},Which date was {Nan|name} {let go|employment_action}?,what is the {fraction|function} of employees that have been {here since|date_time} the {2000's|time_interval},List of {youngest|age} works,{nan singh|name} is the {manager|manager} for which of our employees
What is {Mia|name}'s position? ,What {percentage|function} of workers are {older than|comparator} {30|sys_number} {years old|age}?,Show {married|maritaldesc} employees,How much {salary|money} does {Mia|name} {earn|name} from Cisco {every year|time_interval}?,Get me the combined {total|function} incomes for all employees {hired before august of 2019|date_time},I want the {5|sys_number}{%|function} {bottom|extreme} {earners|money} in the {Admin Offices|department},Give me {Mia|name}'s {hiring date|date_time},have there been any employees that have been {working here for|date_time} {3 years|sys_duration} or even {more than|comparator} that,{oldest|age} employees list,which of our employees have {nan singh|name} as their {manager|manager}
What was the reason for {Mia|name}'s termination?,What is the {median|function} {age of|age} employees in the {sales and marketing departments|department}?,Who is married in {Collaboration Department|department}?,Does {Mia|name} {make|money} {more than|comparator} 50k?,Tell me about the {range|function} of {salaries|money} for employees {hired within the last year|date_time},Admin Offices {bottom|extreme} {16|sys_number}{%|function} {earners|money} list,"When {Amy|name} was {hired|employment_action} to work at the company, what was the date?",can you please tell me what {fraction|function} of people have been doing {work here for|date_time} {more than|comparator} {three years|sys_duration} but {less than|comparator} {five|sys_number}?,{youngest|age} employees list,get me a list of all of the employees that are currently {reporting|manager} directly to {nan singh|name}
Where does {Mia|name} live?,What is the {voluntary attrition rate|function}  among managers in the {operations department|department}?,Which employees are {over|comparator} {30|sys_number} {years old|age}?,Does {Mia|name} {earn|money} more money than seventy thousand per year?,Describe the {salary|money} {range|function} for employees {hired in the last 300 days|date_time},list of {top|extreme} twenty {earners|money} in the {Production department|department},Has {Ivan|name} been working here for {3 years|sys_duration}?,what is the {total|function} number of employees that {started working|date_time} here {before 2012|sys_interval},{15|sys_number} most recently {fired|employment_action} employees,employees that directly {report|manager} to Mr. {Nan Singh|name}
Where is {Mia|name} from?,What {fraction|function} of {terminations|employment_action} were due to {sexual harassment|reason_for_termination}? ,Which employee(s) {do not meet|performance_score} company's expectations?,What is {Mia|name}'s exact {salary|money} in {dollars|money}?,What percent of workers {made|money} below {70 grand|sys_amount-of-money} that were {hired in the last 3 years|date_time},Who {earns|money} the {most|extreme} in the {production department|department},What was the date when {Mia|name} was {hired|employment_action},"employees {born|date_time} {before 1994|sys_interval}, give me the {total|function} {count|function}",{fifteen|sys_number} most recently {hired|employment_action} employees,who is Ms. {Amy Dunn|name} {reporting|manager} to
What is {Hakim|name}'s level in the organization?,What {percentage|function} of employees are {male|sex}?,Which employees were {recruited|employment_action} at {job fairs|employee_source}?,Tell me about {Mia|name}'s {month to month|sys_interval} {paycheck|money}?,"Of all the workers that {started at the company|employment_action} {3 and a half years ago|time_interval}, what fraction {made|money} {more than|comparator} {sixty grand|sys_amount-of-money}?",who {makes|money} the {least|extreme} {amount of money|money} in {admin office|department},"When {Mia|name} {began her employment|date_time}, what was the date",i want the {count|function} of employees that have their {bday|date_time} {before 1996|sys_interval},Which employees joined the company recently,"Does {Amy Dunn|name} have a {manager|manager}, if so who is it?"
What is {Nan Singh|name}'s performance evaluation history?,What is the {percentage|function} of {engineers|position} who are promoted to manager,Which employees are {citizens|citizendesc}?,Is {50k|sys_number} {more than|comparator} what {Mia|name} {make|money}s in {a year|sys_duration}?,"Employees {hired between 2013 and 2014|date_time}, {average|function} {pay|money}",Which White employee {earns|money} the {most|extreme},The date was what when {Mia|name} {started working|date_time} for the company,{percent|function} of employees {born|date_time} in the year of {2014|sys_time},Give me a list of employees that were {hired into the company in|date_time} {July|sys_time},I want to know the name of the {manager|manager} for {Amy Dunn|name}
What is {Nan|name}'s last name?,what {proportion|function} of employees were {hired|employment_action} through a {job fair|employee_source}?,Which employees have a position?,"Does {60,000|sys_number} exceed what {Mia|name} {earns|money} {every year|time_interval}?",{Mean|function} {pay|money} of workers {hired between 2013 and 2014|date_time},who are the company's {top|extreme} {20|sys_number} {asian|racedesc} {earners|money},{Mia|name} {start date|date_time},{1980|sys_time} {born|date_time} employees {total|function} {count|function},Give me a list of folks {fired last summer|date_time},{Amy Dunn|name} {manager|manager}
Does {Mia|name}'s race affect her indulgence?,"What is the {percentage|function} breakdown of employees that joined via {referrals|employee_source}, {social media|employee_source} and {university career fairs|employee_source}?",Which employees are {married|maritaldesc}?,{Mia|name} {Salary|money} {Yearly|time_interval},"Of the employees {born before 1990|date_time}, what is the {average|function} {pay|money}?",give me the {salaries|money} of {interracial|racedesc} employees in this company,{Mia|name} {fire date|date_time},how many employees were {born|date_time} within {five years of 1980|time_interval},Which employees did we {get rid of last fall|date_time}?,{amy dunn|name} {manager|manager} name
How well is the employee doing?,What is the {average|function} tenure of employees in {California|state}?,Which employees are {female|sex}?,{Mia|name} {Salary|money} {Monthly|time_interval},What are workers {born before 1985|date_time} {typically|function} {paid|money}?,give me the {salaries|money} for all of the employees that have a {US citizenship|citizendesc},"{start date|date_time}, {Mia|name}",what is the number of employees {born|date_time} {two years before or after 1980|sys_interval},Which employees are {born in|date_time} {May|sys_time},{manager|manager} name for ms {amy dunn|name}
What does {Michael|name} look like?,What {percent|function} of employees are {female|sex}?,Who is our {oldest|age} employee?,{Mia|name} {Salary|money} {Daily|time_interval},What is the {typical|function} {compensation|money} for company employees {born after 1980 but before 1990|date_time}?,I want a list with {salaries|money} of employees that are {not citizens|citizendesc},"{fire date|date_time}, {Ivan|name}",,Give me a list of employees that have a {birthday|date_time} in {July|sys_time},get me ms. {dunn|name}'s {manager|manager} full name
Is {Mia|name} a citizen?,What's the {average|function} performance of all employees within the company?,Show me all of the {software engineering manager|position},{Mia|name} {earning|money} amount {yearly|time_interval},"on {average|function}, how much are {referred employees|employee_source} {earning|money}?",get me {non citizen|citizendesc} employee salary list,Was {Mia|name} fired on the same month that she was {hired|employment_action}?,,Which employees were {born in|date_time} the month of {March|sys_time},"is there anyone {reporting|manager} to Ms. {Amy dunn|name}, if so who are those people?"
Why was {Mia|name} fired?,What is the {distribution|function} of employees from different states?,All the {September|sys_time} {birthdays|date_time},{Mia|name} {earning|money} amount {monthly|time_interval},how much are {referred employees|employee_source} {making|money} on {average|function}?,{non citizen|citizendesc} {salaries|money},When was {Mia|name} {born|date_time}?,,Give me all the employees that have a {birthday|date_time} {this month|sys_time},{manager|manager} of {amy dunn|name}
What is the manager name of {Julia|name}?,What {percentage|function} of employees are {married|sex}?,Which employee(s) are from {Asia|racedesc}?,{Mia|name} {earning|money} amount {daily|time_interval},what is the {mean|function} of {salaries|money} for {referred employees|employee_source}?,{citizen|citizendesc} {salaries|money},Get me {Mia|name}'s {Bday|date_time},,Which workers at the company have a {birthday|date_time} {this year|sys_time},{manager|manager} for {amy dunn|name}
What race is {nan|name}'s?,{Percentage|function} of {termination|employment_status} due to {lack of innovation|reason_for_termination},Which employees were {hired last May|date_time}?,What does {Mia|name}'s {paycheck|money} look like?,"among all of the employees that found their job from an {internet search|employee_source}, what is the {average|function} {salary|money}?",Show me the {earnings|money} of {males|sex} in this company,tell me {birth date|date_time} of {Nan|name},,Which employees have yet to have their {birthday|date_time} {this year|sys_time}?,{amy dunn|name}'s {supervisor|manager} name
Is {Michael|name} {married|maritaldesc} or {single|maritaldesc}?,What {percentage|function} of employees are {US Citizens|citizendesc}?,Which employees were found via {referrals|employee_source}?,Describe {Mia|name}'s {paycheck|money},what is the {average|function} {salary|money} for {males|sex} in this company?,{women|sex} {salaries|money},"When {Amy|name} was {born|date_time}, what was the month",,Can you please tell me the employees that have already had thier {birthday|date_time} {this year|sys_time},i want the name of everyone that is {working for|manager} {Nan Singh|name}
What does {Nan|name} do?,What {percentage|function} of employees are {non-citizens|citizendesc}?,Which employees are {males|sex}?,Tell me avout {Mia|name}'s {pay|money},what do {guys|sex} {make|money} here on {average|function}?,{men|sex} {salaries|money},in what month was {Ivan|name} {born|date_time},,Which employees share the same {birthday|date_time},can i get the employee names for those {reporting|manager} to {Nan Singh|name}
Was {Michael Albert|name} {terminated|employment_action} due to {performance reasons|reason_for_termination}?,Which office location has the {most|comparator} employees?,Which employees are {not citizens|citizendesc} at my office location?,Does {Mia|name} {make|money} {6 figures|sys_number}?,give me the {mean|function} {salary|money} for {males|sex},{salaries|money} {men|sex},{Nan|name}'s {bday|date_time} is in which month,,Which employees are {born in|date_time} the {second week of feb|sys_time},who all is {working for|manager} {Nan Singh|name}
please tell me {Michael|name}'s age as well as his gender?,What is the {average|function} performane score of all employees?,Which employees are {terminated|employment_action}?,Does {Mia|name} {make|money} {6 figs|sys_number}?,what are {women|sex} {making|money} on {average|function}?,{salaries|money} {women|sex},Which month does {Ivan|name} have his {bday|date_time},,Do we have any {feb|sys_time} {born|date_time} employees,which employees have a {manager|manager}
Is {Nan|name}'s race {Asian|racedesc}?,What {percent|function} of employees are {american citizens|citizendesc}?,{female|sex} employees,Is it true that {Mia|name} has a {six figure|sys_number} {salary|money}?,i want the {average|function} {salary|money} of {women|sex} in this organization,{salaries|money} of {females|sex} in the org,Give me the {bday month|date_time} of {Mia|name},,{November|sys_time} {born|date_time} employees,which employees have a {manager|manager} that goes by the name {Peter Monroe|name}
"tell me, is {Michael|name} a {bachelor|maritaldesc}?",How many employees are {male|sex}?,{non citizen|citizendesc} employees,What does {Mia|name}'s {compensation|money} look like?,what is the {yearly|time_interval} {compensation|money} for {non citizens|citizendesc}?,all the {salaries|money} of {women|sex} in the company,{Mia|name} {bday month|date_time},,{August|sys_time}-{born|date_time} employees,is {Peter Monroe|name} the {manager|manager} for {Amy Dunn|name}
What is {Nan|name}'s job?,How many employees live in {Iowa|state}?,workers that aren't {citizens|citizendesc},What is {Mia|name} {compensated|money} on a {year to year|time_interval} basis?,what is the {total|function} {amount of money|money} that employees that are {citizens|citizendesc} have earned?,show me the {yearly|time_interval} {earnings|money} of the {men|sex},{Mia|name} {birthday|date_time},,Get me the employees that were {born|date_time} before {August|sys_time} but after {May|sys_time},does {Peter Monroe|name} {manage|manager} {Amy Dunn|name}
how old is {Michael|name} and is he a boy or a girl?,How many employees are {married|maritaldesc},tell me who is the {youngest|age} employee,How much does Cisco give {Mia|name} in {compensation|money} {every year|time_interval}?,how much did the company {pay|money} its employees {last year|sys_time} on {average|function}?,{men|sex} {yearly|time_interval} {earnings|money},{Ivan|name} {birth date|date_time},,get me all of the folks who were {born in|date_time} the {eighties|time_interval},is {Amy Dunn|name} {managed by|manager} {Peter Monroe|name}
Get me {nan|name}'s race,How many employees work in {California|state},employee with the {lowest|extreme} {age|age},What is the {yearly|time_interval} {compensation|money} for {Mia|name} at Cisco?,what is the {average|function} {salary|money} that the company offered its employees for the {last four and a half years|time_interval}?,{African american emnployees|racedesc} {salaries|money} listed,{Amy|name} {date of birth|date_time},,{seventies|sys_time} {born|date_time} employees list,is {Peter Monroe|name} {managing|manager} {Amy Dunn|name} or is it the other way around?
"Please tell me, is {Michael|name} {married|maritaldesc} or not?",How many of employees are {married|maritaldesc}?,employee with the {highest|extreme} {age|age},What does {Mia|name} get for {compensation|money}?,what portion of {citizens|citizendesc} were {compensated|money} with {more than|comparator} {60k|sys_amount-of-money} from {2013|sys_time} to {2016|sys_time}?,how much are {referred employees|employee_source} {earning|money}?,{Amy|name} {DOB|date_time},,i want the employees that have been {hired in|date_time} the {last two years|sys_interval} working in {CA|state},can you tell me who the {supervisor|manager} is that is {supervising|manager} Ms. {Amy Dunn|name}
Tell me {Nan|name}'s occupation?,What is the head count trend within the {Sales department|department}?,"top {10|sys_number} {oldest|age} employees, who are they?",How much is {Mia|name} {compensated|money}?,give me the number of employees have earned {more than|comparator} {70 grand|sys_amount-of-money} in {total|function} {compensation|money} {yearly|time_interval},"get me the {salaries|money} of the people {working for|manager} the {manager|manager}, {ammy Dunn|name}",{Amy|name} {date of birth|date_time},,get me the employees that are from {MA|state} and have been {hired between|date_time} {2 years ago|sys_time} to {5 years ago|sys_time},{managing|manager} employee for the employee {Amy Dunn|name}
sex and age of {Michael|name},How many {female|sex} managers are there?,who are the top {10|sys_number}{%|function} {oldest|age} employees,"Does {Mia|name}'s {compensation|money} exceed 48,000?",what is the {average|function} {salary|money} of the employees whose {supervisor|manager} is {Amy Dunn|name}?,{female|sex} {incomes|money},{date of birth|date_time} of {Amy|name},,{MA|state} employees {hired|employment_action} {4 years ago|sys_time},{Amy Dunn|name} {manages|manager} which individuals?
does {Mia|name} live in {Cali|state},How many employees are minorities?,get me the {youngest|age} {five|sys_number} {percent|function} of employees,{Mia|name}'s {compensation|money} {yearly|time_interval},{mean|function} {salary|money} for employees {working for|manager} {Mrs. Dunn|name},{male|sex} {incomes|money},{DOB|date_time} of {Amy|name},,{CT|state} employees {hired atleast|date_time} {three years ago|sys_time},get me a list of all of the employees who {report to|manager} {Amy Dunn|name} if there are any
is {Mia|name} based in {MA|state},How many employees are there?,i want the {youngest|age} {third|sys_ordinal} of employees,{Mia|name}'s {yearly|time_interval} {compensation|money},what portion of employees that {work for|manager} Mr. Butler {make|money} {more than|comparator} {50k|sys_amount-of-money}?,{incomes|money} of {males|sex},Please get me {DOB|date_time} of {Mia|name},,workers from {CT|state} {hired|employment_action} {more than|comparator} {three yrs ago|time_interval},I want to know if {Amy Dunn|name} is a {manger|manager}
I want {Mia|name}'s state,How many jobs have you had previous?,who are our {network engineers|position},"{Yearly|time_interval} {compensation|money}, {Mia|name}",what are {production technicians|position} {making|money} on {average|function}?,what are the {dudes|sex} {making|money},What was {Mia|name}'s {DOB|date_time}?,,{male|sex} workers {born in|date_time} the {90's|time_interval},Is {Amy Dunn|name} a {manager|manager}
state of {Mia|name},What is the ratio of races in our company?,{network engineers|position},"{Monthly|time_interval} {compensation|money}, {Mia|name}",give me the {average|function} take home {salary|money} for {Production Technicians|position},what are our {top|extreme} {earners|money} {making|money},Tell me {Ivan|name}'s {dob|date_time},,{90's|time_interval} {born|date_time} {males|sex},does {Amy|name} have the role of being a {manager|manager}
get me that state that {Mia|name} is from,How many employees are {married|maritaldesc}?,{Sr. DBAs|position},{Mia|name} {compensation|money},{Network Engineer|position} {Mean|function} {Pay|money},what are our {lowest|extreme} {earners|money} {making|money},What was day when {Nan|name} was {born|date_time},,{80's|time_interval} {born|date_time} {women|sex},is {Amy|name} a {manager|manager} in our company
which state is {Mia|name} from,How many employees in the {IT department|department}?,get me a list of {IT support|position} staff,{compensation|money} {Mia|name},{Payrate|money} {avg|function} {Network engineers|position},get the {salaries|money} of employees in the {lowest|extreme} {income|money} bracket,What day was it when {Amy|name} was {hired|employment_action},,{women|sex} {born in|date_time} the {60's|time_interval},"{amy|name} is a {boss|manager}, right?"
where is {Mia|name} from,How many employees {meet or exceed expectations|performance_score}?,which staff work in {IT|department},{Mia|name} {payrate|money},{compensation|money} {avg|function} amt for {network engineers|position},get the {salaries|money} of workers that are {paid|money} in the {highest|extreme} {income|money} bracket,{Amy|name} {hiring date|date_time},,employees that are {citizens|citizendesc} and {born|date_time} {between 1960 and 1990|sys_interval},is it correct to say that {Amy|name} is a {boss|manager}?
is {Mia|name} a {network engineer|position},How many women are in the {Engineering Department|department}?,who is {working for|manager} {IT support|position}?,{Mia|name} {pay|money} amount,{highest|extreme} {salary|money} for a {network engineer|position},{highest|extreme} {income|money} {salaries|money},Please tell me {Ivan|name}'s {hiring date|date_time},,I want all of the employees in the {sales department|department} that were {hired|employment_action} {more than|comparator} {four years ago|sys_time},can you tell me whether {Amy|name} is a {boss|manager} or not?
does {Mia|name} work as a {network engineer|position},How many people are {performing badly|performance_score}? ,who is doing {IT support|position} at this company?,{Payrate|money} {Mia|name},what is the {highest|extreme} {amount|money} that a {network engineer|position} is {earning|money},{lowest|extreme} {income|money} {salaries|money},I want the date when {Nan|name} {starting working|date_time} here,,which employees from the {software engineering department|department} {join us in|date_time} {2014|sys_time},as of today Ms. {Dunn|name} is {managing|manager} which employees
is the job title of {Mia|name} a {network engineer|position},How many employees work in the {MA|state} office?,{IT Support|position} employees,{Pay|money} Amount {Mia|name},"of all the {network engineer|position}s, what is the {highest|extreme} {earning|money} {amount|money}",which employees are {making|money} {less than|comparator} {average|function},Did we {let go|employment_action} of {Amy|name} in {May|sys_time},,which employees from the {software engineering department|department} {began working for us within|date_time} the {last four months|sys_interval},Do {Mia|name} and {Nan|name} {report to|manager} the same {manager|manager}?
is {Mia|name} in the {Admin Offices department|department},How many employees were born in the {year 2009|date_time}?,employees that work as an {IT Manager|position},Amount that {Mia|name} gets {paid|money},"of the {network engineer|position}s, give me the {max|extreme} {compensation|money}",list employees {making|money} {more than|comparator} {average|function},Was it {May|sys_time} or {June|sys_time} when we had to let {Mia|name} go?,,"from {last july to last jan|sys_interval}, which employees {joined the organization in|date_time} the {software engineering department|department}",are {Nan|name} and {Mia|name} {reporting to|manager} the same {manger|manager}?
is {Mia|name} {currently active|employment_status} or not,How many employees are {not citizens|citizendesc}?,provide me a list of {senior database admins|position},{Payroll|money} {Mia|name},fetch me the {min|extreme} {compensation|money} for a {network engineer|position} at this organization,above {average|function} {earning|money} employees,When exactly did we let {Ivan|name} go?,,get me the {male|sex} employees that have been {fired|employment_action} {since 2015|sys_interval},who do {Nan|name} and {Mia|name} {report to|manager}?
whats {Mia|name}'s employment status,How many employees are from {North Carolina|state}?,workers doing {information technology support|position},How much is {Mia|name} {making|money} on {Payroll|money},what {fraction|function} of employees {make|money} {less than|comparator} {69 grand|sys_amount-of-money}?,below {average|function} {earning|money} workers,How long ago did we {fire|employment_action} {Ivan|name} from the company,,since 2014 whiich employees have been {fired|employment_action} that are {male|sex},who are {Nan|name} and {Mia|name} {working under|manager} currently
what department does {Mia|name} currently work in,How many employees are {asian|racedesc}?,who is {married|maritaldesc},What does the {payroll|money} say about {Mia|name}'s {earning|money},{percentage|function} of employees {earning|money} {below|comparator} {80k|sys_number},folks {making|money} {less than|comparator} the {avg|function},When did Cisco kick {nan|name} out of the company,,{male|sex} employees {fired|employment_action} in {2017|sys_time},who is the {manager|manager} for {Nan|name} and also for {Mia|name}
whats {Mia|name}'s role at the organization,What is the number of {married|maritaldesc} employees?,who is {single|maritaldesc},"According to the {payroll|money}, how much does {Mia|name} get {paid|money}?","{%|function} of {earners|money} {making|money} {below|comparator} {$34,000|sys_amount-of-money}",what are {network engineers|position} {making|money} at this company,When did {Mia|name} end her employment,,{females|sex} {fired|employment_action} in {2016|sys_time},is the {manager|manager} for {Mia|name} the same as the {manager|manager} for {Nan|name}?
